shift,intensity,atom_or_channel,nucleus,frequency,solvent
10.24,,1H,1H,300.0,CDCl3
111.0,,13C,13C,75.0,CDCl3
135.9,,13C,13C,75.0,CDCl3
136.0,,13C,13C,75.0,CDCl3
136.1,,13C,13C,75.0,CDCl3
136.2,,13C,13C,75.0,CDCl3
139.1,,13C,13C,75.0,CDCl3
139.2,,13C,13C,75.0,CDCl3
139.3,,13C,13C,75.0,CDCl3
139.4,,13C,13C,75.0,CDCl3
139.6,,13C,13C,75.0,CDCl3
143.5,,13C,13C,75.0,CDCl3
143.6,,13C,13C,75.0,CDCl3
145.6,,13C,13C,75.0,CDCl3
145.7,,13C,13C,75.0,CDCl3
146.9,,13C,13C,75.0,CDCl3
147.1,,13C,13C,75.0,CDCl3
149.1,,13C,13C,75.0,CDCl3
149.2,,13C,13C,75.0,CDCl3
181.6,,13C,13C,75.0,CDCl3
1.0,,19F,19F,282.0,CDCl3
2.0,,19F,19F,282.0,CDCl3
10.285,,1H,1H,400.0,CDCl3
110.99,,13C,13C,101.0,CDCl3
136.36,,13C,13C,101.0,CDCl3
146.2,,13C,13C,101.0,CDCl3
148.71,,13C,13C,101.0,CDCl3
181.62,,13C,13C,101.0,CDCl3
